respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.063340781,0.174497712
26708,0.051971331,0.122875377
26709,0.483893285,0.816159213
26710,0.508074488,0.845766968
26711,0.188520431,0.5
26712,0.597359839,0.963204047
26713,0.469272422,0.334752471
26714,0.070765392,0.100334632
26715,0.054295158,0.072649574
26716,0.098711949,0.83939559
26717,0.042428487,0.419564609
26718,0.137726741,0.415518445
26719,0.051721138,0.967464212
26720,0.058427161,0.250091721
26721,0.448284607,0.460776207
26722,0.046964108,0.074281213
26723,0.553705168,0.846800235
26724,0.072418945,0.785360885
26725,0.176934252,0.146146065
26726,0.09776877,0.142259608
26727,0.21382349,0.870416415
26728,0.229379552,0.612614917
26729,0.06610158,0.155377772
26730,0.063600459,0.169104449
26731,0.061689603,0.355197535
26732,0.126795167,0.133787645
26733,0.84059165,0.94690957
26734,0.770923271,0.631874115
26735,0.085298751,0.431799845
26736,0.065465715,0.11459962
26737,0.065555074,0.103474198
26738,0.507678239,0.852388896
26739,0.067444784,0.112077791
26740,0.088752005,0.124141617
26741,0.104601729,0.889278861
26742,0.090036749,0.364369851
26743,0.065663715,0.578810886
26744,0.068896823,0.632358583
26745,0.097753571,0.871973395
26746,0.102980618,0.265142806
26747,0.086055029,0.271660886
26748,0.133636987,0.094012339
26749,0.077509213,0.604526851
26750,0.615183072,0.82340023
26751,0.302275935,0.685345314
26752,0.054876777,0.115137649
26753,0.169944943,0.674126077
26754,0.077279653,0.288806956
26755,0.078653735,0.43393946
26756,0.040176942,0.112370843
26757,0.662295847,0.780313341
26758,0.613671271,0.892682114
26759,0.056464333,0.123393653
26760,0.035205123,0.176816696
26761,0.468835989,0.677538894
26762,0.114110855,0.883138762
26763,0.714501136,0.882101558
26764,0.735444382,0.884185934
26765,0.190501767,0.41151288
26766,0.083622684,0.109782701
26767,0.780099515,0.708271315
26768,0.037587565,0.461518827
26769,0.093557664,0.14204848
26770,0.066764436,0.522878196
26771,0.063680708,0.170169411
26772,0.071905102,0.318633491
26773,0.035153257,0.259132284
26774,0.060799024,0.51509147
26775,0.073545191,0.517961197
26776,0.464000193,0.361965684
26777,0.079383559,0.813549513
26778,0.059571513,0.032365639
26779,0.070719041,0.516542439
26780,0.144852035,0.842903887
26781,0.08783555,0.214969121
26782,0.052220863,0.310091549
26783,0.069726026,0.250881169
26784,0.414472016,0.909632776
26785,0.393113774,0.444672458
26786,0.093897748,0.14746252
26787,0.081905396,0.613961998
26788,0.069623205,0.957730087
26789,0.026642209,0.173930488
26790,0.060437647,0.15827209
26791,0.060733672,0.09270138
26792,0.172204959,0.811959497
26793,0.0814388,0.936650953
26794,0.736108685,0.904403895
26795,0.055331082,0.958801278
26796,0.040698632,0.057157473
26797,0.079199215,0.508411112
26798,0.30801317,0.165600156
26799,0.416696841,0.130402123
26800,0.031295102,0.933671521
26801,0.361620829,0.237356404
26802,0.069022337,0.13911958
26803,0.066580452,0.152108486
26804,0.066241615,0.063626758
26805,0.073973447,0.117217814
26806,0.058031925,0.949234328
26807,0.670296987,0.824068601
26808,0.328665573,0.528505172
26809,0.62661137,0.254311321
26810,0.060724171,0.096395458
26811,0.036564229,0.087563966
26812,0.120096897,0.866666898
26813,0.196913867,0.28393626
26814,0.03914984,0.621011864
26815,0.060159545,0.101541461
26816,0.048573184,0.107289066
26817,0.099307711,0.788735225
26818,0.063235483,0.265288817
26819,0.318359085,0.37033592
26820,0.111677281,0.16938
26821,0.072938871,0.455067309
26822,0.122785284,0.796250524
26823,0.233712635,0.336527509
26824,0.042013145,0.74361839
26825,0.536367946,0.727670061
26826,0.060785448,0.742591967
26827,0.074427755,0.165837252
26828,0.531566157,0.762256319
26829,0.645279842,0.887595588
26830,0.064812992,0.788614766
26831,0.236313589,0.919170113
26832,0.06439631,0.836402249
26833,0.055646542,0.793582789
26834,0.338198453,0.453984216
26835,0.509853449,0.893438707
26836,0.176690416,0.601968268
26837,0.072534467,0.095715731
26838,0.074271486,0.410510068
26839,0.125861779,0.398226488
26840,0.068363181,0.091335569
26841,0.54967276,0.745295499
26842,0.057322877,0.153939805
26843,0.09223522,0.174884783
26844,0.060742818,0.524662718
26845,0.05639576,0.834830536
26846,0.072907528,0.863925235
26847,0.423944982,0.129563655
26848,0.049203663,0.805988576
26849,0.177601937,0.474967313
26850,0.448480162,0.300439267
26851,0.061164105,0.132904825
26852,0.052793341,0.080202583
26853,0.556926758,0.386122501
26854,0.04198958,0.124149605
26855,0.5,0.80070282
26856,0.127177671,0.057904171
26857,0.471570498,0.238269257
26858,0.082903792,0.597350035
26859,0.071596651,0.119257745
26860,0.089637473,0.120199884
26861,0.081720299,0.08963402
26862,0.068140362,0.192609991
26863,0.172784258,0.528466293
26864,0.59778131,0.199233642
26865,0.057429621,0.108045731
26866,0.094668449,0.714885879
26867,0.078683968,0.07511155
26868,0.849591398,0.850385761
26869,0.068911692,0.4146701
26870,0.642068681,0.920932336
26871,0.056480222,0.107425231
26872,0.10455038,0.358905283
26873,0.083660613,0.744041779
26874,0.028157844,0.059493462
26875,0.585044908,0.834063996
26876,0.043482814,0.065357987
26877,0.055861146,0.134435095
26878,0.14458729,0.412517768
26879,0.047201071,0.154355763
26880,0.071485864,0.110664699
26881,0.057690787,0.068384108
26882,0.058407886,0.087233227
26883,0.063985776,0.214211274
26884,0.317129011,0.221857353
26885,0.203352075,0.859409077
26886,0.129048234,0.873251487
26887,0.54103238,0.846549886
26888,0.666760282,0.933795465
26889,0.040004486,0.081156609
26890,0.125198855,0.383866498
26891,0.722154038,0.857657341
26892,0.11788785,0.738952256
26893,0.053749233,0.077805079
26894,0.147526032,0.144553889
26895,0.049009244,0.87651301
26896,0.065826631,0.103597252
26897,0.059887173,0.533771296
26898,0.166614465,0.4699873
26899,0.067720484,0.112118752
26900,0.087141355,0.153406902
26901,0.064673738,0.40717018
26902,0.146782353,0.89226996
26903,0.131880382,0.085672641
26904,0.063446558,0.386019526
26905,0.42340009,0.941313916
26906,0.061117524,0.314875881
26907,0.054657926,0.649684101
26908,0.092257279,0.826919277
26909,0.130515648,0.156839812
26910,0.400117509,0.489430745
26911,0.064132406,0.109250362
26912,0.467136266,0.842671343
26913,0.601115468,0.86853831
26914,0.060842728,0.157050722
26915,0.142104177,0.772864288
26916,0.05336305,0.221220618
26917,0.045428727,0.15232009
26918,0.875295463,0.931060124
26919,0.292733103,0.770267451
26920,0.045041303,0.119993108
26921,0.070770738,0.906146235
26922,0.034940364,0.793748934
26923,0.080356339,0.581343122
26924,0.832842208,0.941256125
26925,0.083570974,0.753216621
26926,0.286706686,0.442408411
26927,0.336452574,0.751068123
26928,0.056726865,0.416242796
26929,0.065170725,0.11569315
26930,0.66737387,0.872321619
26931,0.114828262,0.446565005
26932,0.035215532,0.936482127
26933,0.062428151,0.733180602
26934,0.5,0.720840872
26935,0.161165916,0.560471156
26936,0.41340662,0.277096569
26937,0.262447953,0.850962329
26938,0.063398318,0.178597527
26939,0.063512626,0.139061954
26940,0.12038575,0.144221031
26941,0.059664654,0.337287143
26942,0.62436076,0.879515906
26943,0.135203021,0.695064385
26944,0.072700425,0.179484371
26945,0.089323974,0.637955461
26946,0.096188694,0.787186022
26947,0.101202911,0.593990275
26948,0.045379103,0.049323657
26949,0.035628992,0.078997194
26950,0.04409723,0.419080068
26951,0.061380486,0.209597978
26952,0.454192676,0.751740088
26953,0.634404068,0.805944421
26954,0.057088994,0.074588837
26955,0.100440537,0.673543729
26956,0.086337599,0.230872408
26957,0.057390593,0.965457312
26958,0.168857644,0.779859045
26959,0.054665567,0.18111872
26960,0.049731272,0.044592332
26961,0.139416844,0.308633731
26962,0.074248953,0.878498938
26963,0.119467405,0.244622342
26964,0.06175082,0.121919296
26965,0.645717508,0.880039473
26966,0.04982054,0.16336185
26967,0.075975835,0.440737827
26968,0.042782129,0.8720145
26969,0.076523005,0.157273453
26970,0.615530441,0.568917922
26971,0.063614096,0.174967743
26972,0.030877719,0.082557627
26973,0.061010423,0.160302182
26974,0.109079239,0.131551815
26975,0.054980874,0.792823802
26976,0.798789422,0.52910893
26977,0.044400223,0.21619558
26978,0.067627322,0.840389841
26979,0.573693702,0.889613986
26980,0.047023957,0.06681683
26981,0.046486215,0.307589918
26982,0.77026632,0.911519552
26983,0.093027629,0.468924111
26984,0.053442977,0.130177299
26985,0.054725672,0.147948871
26986,0.090336448,0.300139909
26987,0.048784012,0.104489773
26988,0.059457452,0.10418339
26989,0.212622865,0.779027709
26990,0.034040311,0.107874292
26991,0.401009135,0.524674223
26992,0.480227797,0.3749061
26993,0.101476351,0.879191228
26994,0.083877449,0.27231687
26995,0.07196157,0.37702828
26996,0.306012477,0.283648528
26997,0.077910501,0.097351338
26998,0.071431484,0.1078265
26999,0.345987811,0.416206723
27000,0.072713355,0.269288759
27001,0.067835572,0.810514702
27002,0.020239402,0.2113128
27003,0.030253195,0.084792197
27004,0.098876139,0.198614296
27005,0.384477953,0.833462735
27006,0.629566032,0.834493929
27007,0.05334027,0.062439995
27008,0.063192074,0.078121986
27009,0.062999387,0.125477148
27010,0.061889998,0.132045198
27011,0.072997489,0.133635027
27012,0.170852624,0.563930835
27013,0.072308908,0.362697559
27014,0.049549073,0.291169647
27015,0.061388134,0.119560662
27016,0.072858691,0.155481743
27017,0.585523521,0.788193075
27018,0.053437796,0.10575493
27019,0.534657547,0.863323408
27020,0.223325706,0.169326208
27021,0.133710077,0.305088425
27022,0.102756302,0.161990374
27023,0.046407416,0.057038231
27024,0.060772116,0.22809285
27025,0.096837499,0.075722493
27026,0.091515367,0.618570906
27027,0.069886371,0.888115431
27028,0.330424623,0.821533731
27029,0.078834396,0.206952834
27030,0.12251033,0.108111442
27031,0.179340608,0.836955067
27032,0.187853894,0.558123594
27033,0.35850475,0.770873768
27034,0.030183975,0.508658838
27035,0.072787815,0.219322828
27036,0.106779573,0.79874755
27037,0.535005737,0.777452735
27038,0.043572093,0.15563223
27039,0.738851346,0.823826631
27040,0.230364142,0.185818855
27041,0.080039802,0.697518989
27042,0.060162768,0.76943787
27043,0.385026136,0.670124479
27044,0.078795718,0.098758284
27045,0.097556344,0.74627039
27046,0.066161659,0.118088297
27047,0.600212032,0.27367258
27048,0.219849673,0.40115027
27049,0.409581764,0.860367676
27050,0.059593181,0.586677362
27051,0.07900695,0.247455534
27052,0.076996728,0.249362747
27053,0.628204829,0.811610885
27054,0.059894058,0.098374326
27055,0.046558949,0.907095859
27056,0.071636632,0.106749291
27057,0.04945136,0.061515886
27058,0.636608357,0.889593105
27059,0.066974554,0.120977562
27060,0.043301324,0.269266181
27061,0.052169203,0.577287225
27062,0.073412661,0.429618734
27063,0.056585933,0.650730472
27064,0.293098673,0.777167158
27065,0.052274337,0.285008614
27066,0.038864278,0.678362768
27067,0.629482275,0.78921286
27068,0.802452316,0.942365915
27069,0.53108857,0.886147192
27070,0.059507454,0.067085385
27071,0.070820855,0.139999819
27072,0.104090752,0.527447306
27073,0.051393295,0.849294403
27074,0.075190633,0.262802371
27075,0.613963819,0.838702828
27076,0.580361129,0.730166223
27077,0.08142662,0.104998064
27078,0.171624918,0.899776236
27079,0.295275588,0.855148262
27080,0.060042685,0.139295997
27081,0.055983358,0.6643173
27082,0.199380825,0.370943824
27083,0.054383215,0.259414778
27084,0.933205991,0.857747349
27085,0.062612286,0.186979328
27086,0.068186438,0.105580327
27087,0.154810193,0.177156597
27088,0.382827804,0.615739202
27089,0.165452485,0.133858097
27090,0.161627835,0.682183555
27091,0.543797678,0.173591295
27092,0.06384821,0.127493154
27093,0.124317516,0.157912221
27094,0.040241098,0.123167897
27095,0.086289464,0.56867316
27096,0.040521884,0.232587397
27097,0.577419242,0.682928512
27098,0.543761495,0.821029359
27099,0.132756473,0.537118752
27100,0.1095328,0.76514141
27101,0.109905303,0.824067966
27102,0.050226131,0.90104982
27103,0.042082568,0.0996473
27104,0.186475385,0.54318873
27105,0.085576695,0.291612237
27106,0.633588824,0.904803695
27107,0.453928974,0.677974939
27108,0.429801402,0.380295783
27109,0.082747597,0.09380217
27110,0.071587552,0.415484519
27111,0.054317747,0.319632741
27112,0.323558359,0.646539215
27113,0.070992958,0.139567246
27114,0.060502776,0.147283953
